127.0.0.1, 2018-05-10 23:40:40, GET, /, HTTP/1.1, 303, 0.018496
127.0.0.1, 2018-05-10 23:40:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.590841
127.0.0.1, 2018-05-10 23:40:41, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.030558
127.0.0.1, 2018-05-10 23:40:41, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.040243
127.0.0.1, 2018-05-10 23:40:41, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.040173
127.0.0.1, 2018-05-10 23:40:41, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.049438
127.0.0.1, 2018-05-10 23:40:41, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.007241
127.0.0.1, 2018-05-10 23:40:41, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.048327
127.0.0.1, 2018-05-10 23:40:41, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.021122
127.0.0.1, 2018-05-10 23:40:41, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.063735
127.0.0.1, 2018-05-10 23:40:41, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.036136
127.0.0.1, 2018-05-10 23:40:41, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.043155
127.0.0.1, 2018-05-10 23:40:42, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.005024
127.0.0.1, 2018-05-10 23:40:42, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.009396
127.0.0.1, 2018-05-10 23:40:42, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.007944
127.0.0.1, 2018-05-10 23:40:42, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.002764
127.0.0.1, 2018-05-10 23:40:47, GET, /admin/default/index, HTTP/1.1, 200, 0.462630
127.0.0.1, 2018-05-10 23:40:47, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.016277
127.0.0.1, 2018-05-10 23:40:47, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.017346
127.0.0.1, 2018-05-10 23:40:47, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.035066
127.0.0.1, 2018-05-10 23:40:47, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.026427
127.0.0.1, 2018-05-10 23:40:47, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.049273
127.0.0.1, 2018-05-10 23:40:47, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.057993
127.0.0.1, 2018-05-10 23:40:47, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.071236
127.0.0.1, 2018-05-10 23:40:47, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.026288
127.0.0.1, 2018-05-10 23:40:47, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.023708
127.0.0.1, 2018-05-10 23:40:47, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.018615
127.0.0.1, 2018-05-10 23:40:47, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.019340
127.0.0.1, 2018-05-10 23:40:47, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.015760
127.0.0.1, 2018-05-10 23:40:47, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.064958
127.0.0.1, 2018-05-10 23:40:47, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.004021
127.0.0.1, 2018-05-10 23:40:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000581
127.0.0.1, 2018-05-10 23:40:50, POST, /admin/default/index, HTTP/1.1, 303, 0.023608
127.0.0.1, 2018-05-10 23:40:51, GET, /admin/default/site, HTTP/1.1, 200, 0.082523
127.0.0.1, 2018-05-10 23:40:51, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.007114
127.0.0.1, 2018-05-10 23:40:51, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.008622
127.0.0.1, 2018-05-10 23:40:51, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001819
127.0.0.1, 2018-05-10 23:40:51, POST, /admin/default/check_version, HTTP/1.1, 200, 0.404190
127.0.0.1, 2018-05-10 23:40:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000446
